,Target,secondary_structure,oligomeric_state
152,T1065s2-D1,mostly_alpha,homo-oligomer
192,T1067,mostly_beta,monomer
197,T1067-D1,mostly_beta,monomer
36,T1068,all_alpha,homo-oligomer
92,T1068-D1,all_alpha,homo-oligomer
175,T1070,all_beta,homo-oligomer
244,T1070-D1,all_beta,homo-oligomer
189,T1070-D2,all_beta,homo-oligomer
76,T1070-D3,all_beta,homo-oligomer
171,T1070-D4,all_beta,homo-oligomer
65,T1072s1,all_alpha,hetero-oligomer
73,T1073,all_alpha,homo-oligomer
10,T1073-D1,all_alpha,homo-oligomer
17,T1074,mostly_beta,monomer
268,T1074-D1,mostly_beta,monomer
141,T1076,mostly_alpha,homo-oligomer
126,T1076-D1,mostly_alpha,homo-oligomer
151,T1078,mostly_beta,homo-oligomer
80,T1078-D1,mostly_beta,homo-oligomer
181,T1079,mostly_alpha,monomer
193,T1079-D1,mostly_alpha,monomer
79,T1080,all_beta,homo-oligomer
116,T1080-D1,all_beta,homo-oligomer
37,T1082,all_alpha,monomer
217,T1082-D1,all_alpha,monomer
228,T1083,all_alpha,homo-oligomer
199,T1083-D1,all_alpha,homo-oligomer
241,T1084,all_alpha,homo-oligomer
214,T1084-D1,all_alpha,homo-oligomer
155,T1085,all_alpha,monomer
195,T1085-D1,all_alpha,monomer
174,T1085-D2,all_alpha,monomer
232,T1085-D3,all_alpha,monomer
44,T1086,all_alpha,monomer
265,T1086-D1,all_alpha,monomer
185,T1086-D2,all_alpha,monomer
201,T1087,all_alpha,homo-oligomer
221,T1087-D1,all_alpha,homo-oligomer
227,T1088,mostly_beta,monomer
262,T1088-D1,mostly_beta,monomer
42,T1089,all_beta,monomer
136,T1089-D1,all_beta,monomer
83,T1090,mixed,monomer
16,T1090-D1,mixed,monomer
272,T1091,mostly_beta,monomer
258,T1091-D1,mostly_beta,monomer
135,T1091-D2,all_beta,monomer
113,T1091-D3,all_beta,monomer
196,T1091-D4,all_beta,monomer
66,T1092,mostly_alpha,monomer
48,T1092-D1,mostly_alpha,monomer
97,T1092-D2,mostly_alpha,monomer
104,T1093,mostly_alpha,monomer
220,T1093-D1,mostly_alpha,monomer
225,T1093-D2,mostly_alpha,monomer
167,T1093-D3,mostly_beta,monomer
40,T1094,mixed,monomer
252,T1094-D1,mixed,monomer
176,T1094-D2,mostly_alpha,monomer
3,T1095,mostly_alpha,monomer
103,T1095-D1,mostly_alpha,monomer
132,T1096,mostly_alpha,monomer
149,T1096-D1,mostly_alpha,monomer
211,T1096-D2,mostly_alpha,monomer
173,T1098,mostly_alpha,monomer
21,T1098-D1,all_alpha,monomer
222,T1098-D2,mostly_alpha,monomer
147,T1099,all_alpha,hetero-oligomer
24,T1099-D1,all_alpha,hetero-oligomer
106,T1100,mostly_alpha,homo-oligomer
69,T1100-D1,all_alpha,homo-oligomer
213,T1100-D2,mixed,homo-oligomer
242,T1101,mixed,monomer
263,T1101-D1,mostly_alpha,monomer
58,T1101-D2,mixed,monomer
