,#,Model,GR#,GROUP_NAME,GDT_TS,NP_P,RANK,Z-M1-GDT,Z-MA-GDT,GDT_HA,GDC_SC,GDC_ALL,RMS_CA,RMS_ALL,NP,err,AL0_P,AL4_P,ALI_P,LGA_S,RMSD[L],Z-score[M],Z-Score[D],Al.Res.,RMSD[D],MolPrb_Score,LDDT,SphGr,CAD_AA,RPF,CODM,DFM,Handed.,SOV,CE,QCS,CONTS,TMscore,Dali(raw),FlexE,QSE,CAD_SS,MP_clash,MP_rotout,MP_ramout,MP_ramfv,reLLG_lddt,reLLG_const,Target
20,21,T1175TS208_1,208,B11L,92.99,100.0,20,0.46,0.47,82.1,60.77,75.69,1.896,2.432,264,0,95.08,96.97,96.97,95.057,0.95,11.8,36.4,263,1.6,1.47,0.85,94.51,0.79,0.87,0.99,0.07,0.97,97.9,6.58,97.14,93.62,0.96,3495.4,4.3,90.41,0.69,1.97,0.33,1.94,91.29,22.16,17.26,T1175
21,22,T1175TS288_1,288s,DFolding-server,92.99,100.0,20,0.46,0.47,83.05,60.31,75.54,1.541,2.102,264,0,95.08,96.97,96.97,95.247,0.95,11.86,36.6,264,1.5,1.37,0.85,95.45,0.78,0.87,0.99,0.06,0.97,94.8,7.02,97.37,94.17,0.96,3523.1,3.88,89.83,0.67,1.77,0.0,1.94,93.23,22.62,17.7,T1175
22,23,T1175TS074_1,074,DFolding,92.99,100.0,20,0.46,0.47,83.9,60.55,76.88,1.948,2.54,264,0,95.08,96.97,96.97,94.996,0.9,11.8,35.4,262,1.5,0.56,0.84,93.94,0.78,0.86,0.99,0.06,0.97,89.3,7.13,97.29,93.97,0.96,3504.6,7.86,90.55,0.67,0.0,0.0,0.0,97.74,32.68,24.81,T1175
23,24,T1175TS162_1,162s,UM-TBM,92.9,100.0,24,0.45,0.47,83.14,60.51,76.18,1.891,2.405,264,0,94.7,96.59,96.59,94.705,0.92,11.74,36.1,263,1.6,1.27,0.84,94.89,0.78,0.86,0.99,0.06,0.97,87.2,6.7,97.08,93.36,0.96,3479.3,3.5,89.13,0.67,1.18,0.0,2.58,93.23,26.06,20.39,T1175
24,25,T1175TS275_1,275,Bhattacharya,92.9,100.0,24,0.45,0.47,81.06,56.77,73.05,1.761,2.401,264,0,95.08,96.59,96.59,95.156,0.97,11.8,35.9,264,1.8,0.95,0.81,93.37,0.75,0.84,0.99,0.08,0.96,94.8,7.02,96.54,92.27,0.96,3416.0,4.49,87.49,0.62,0.98,0.0,0.32,97.1,15.47,14.24,T1175
25,26,T1175TS166_1,166s,RaptorX,92.71,100.0,26,0.44,0.46,81.91,59.32,75.28,1.794,2.383,264,0,94.7,96.21,96.21,94.838,0.92,11.74,36.8,264,1.8,1.84,0.84,93.94,0.78,0.86,0.99,0.06,0.97,92.5,5.86,97.19,93.76,0.96,3480.7,4.72,89.58,0.66,3.14,3.01,1.29,94.52,21.86,16.88,T1175
26,27,T1175TS229_1,229s,Yang-Server,92.71,100.0,26,0.44,0.46,77.84,62.25,73.46,1.664,2.129,264,0,96.21,97.35,97.35,95.239,0.99,11.86,36.7,262,1.4,1.3,0.83,94.99,0.79,0.85,0.99,0.06,0.97,93.8,7.02,97.03,93.69,0.96,3492.7,5.98,89.02,0.68,1.2,0.67,0.97,92.58,20.28,14.61,T1175
27,28,T1175TS450_1,450s,ManiFold-serv,92.71,100.0,26,0.44,0.46,82.01,60.02,76.06,1.59,2.156,264,0,96.21,97.35,97.35,95.622,0.93,11.86,37.1,264,1.6,1.4,0.85,95.83,0.78,0.87,0.99,0.06,0.97,96.1,7.13,97.27,93.95,0.97,3521.8,4.87,91.61,0.67,1.57,0.33,2.9,91.61,20.15,14.94,T1175
28,29,T1175TS360_1,360,MUFold_H,92.71,100.0,26,0.44,0.46,83.05,60.4,76.24,1.96,2.462,264,0,94.7,96.21,96.21,94.446,0.88,11.74,36.6,262,1.5,1.29,0.84,94.7,0.78,0.86,0.99,0.07,0.97,89.9,7.13,97.31,93.87,0.96,3496.8,2.84,91.1,0.67,1.57,0.67,1.61,94.19,24.17,22.19,T1175
29,30,T1175TS120_1,120s,MULTICOM_egnn,92.61,100.0,30,0.43,0.45,77.84,59.88,73.18,1.685,2.225,264,0,96.21,97.35,97.35,95.207,1.01,11.86,36.7,262,1.4,1.1,0.85,95.27,0.79,0.87,0.99,0.06,0.97,98.1,6.35,97.11,93.8,0.96,3488.3,6.29,90.49,0.68,0.39,0.67,1.29,92.58,17.15,13.86,T1175
30,31,T1175TS037_1,037,Wallner,92.52,100.0,31,0.42,0.45,78.69,59.29,73.27,1.782,2.427,264,0,95.08,96.97,96.97,94.66,1.02,11.74,36.1,264,1.8,1.33,0.84,93.94,0.78,0.86,0.99,0.07,0.97,97.2,6.58,96.82,93.06,0.96,3449.3,4.7,89.47,0.67,1.38,0.33,2.26,92.58,15.6,11.1,T1175
31,32,T1175TS461_1,461,colabfold_human,92.33,100.0,32,0.41,0.44,77.46,59.22,72.45,1.526,2.022,264,0,95.45,96.97,96.97,95.219,1.05,11.91,36.6,264,1.5,1.46,0.85,96.59,0.79,0.87,0.99,0.06,0.97,93.6,7.02,96.96,93.54,0.96,3482.4,3.72,90.77,0.68,1.97,0.67,1.94,91.61,15.48,11.66,T1175
32,33,T1175TS446_1,446s,ColabFold,92.33,100.0,32,0.41,0.44,77.46,59.22,72.45,1.526,2.022,264,0,95.45,96.97,96.97,95.219,1.05,11.91,36.6,264,1.5,1.46,0.85,96.59,0.79,0.87,0.99,0.06,0.97,93.6,7.02,96.96,93.54,0.96,3482.4,3.72,90.77,0.68,1.97,0.67,1.94,91.61,15.48,11.66,T1175
33,34,T1175TS008_1,008,bench,92.33,100.0,32,0.41,0.44,77.75,61.15,72.67,1.694,2.295,264,0,95.45,96.97,96.97,94.981,1.02,11.8,37.1,264,1.7,1.51,0.83,94.06,0.79,0.86,0.99,0.06,0.97,92.5,6.47,97.18,94.03,0.96,3513.3,5.99,88.79,0.67,2.2,1.0,1.29,91.29,17.67,13.91,T1175
34,35,T1175TS466_1,466s,Shennong,92.23,100.0,35,0.41,0.43,78.31,59.16,72.82,2.11,2.702,264,0,93.94,95.83,95.83,94.461,1.04,11.68,35.2,260,1.4,1.12,0.84,93.18,0.78,0.86,0.99,0.07,0.97,95.5,6.7,97.21,93.86,0.95,3485.5,8.6,89.52,0.68,0.39,0.33,1.94,92.26,19.67,13.19,T1175
35,36,T1175TS133_1,133s,ShanghaiTech-TS-SER,92.14,100.0,36,0.4,0.42,76.89,57.52,71.82,1.607,2.245,264,0,95.83,98.11,98.11,95.589,1.05,11.97,35.2,262,1.3,1.41,0.84,94.7,0.78,0.86,0.99,0.06,0.97,95.2,7.02,96.98,93.65,0.96,3482.3,5.64,89.83,0.67,1.57,0.33,2.26,91.29,12.57,10.07,T1175
36,37,T1175TS433_1,433,OpenFold-SingleSeq,92.14,100.0,36,0.4,0.42,81.53,58.49,74.79,1.74,2.283,264,0,94.32,96.21,96.21,94.735,0.96,11.74,35.5,264,1.7,1.35,0.84,94.7,0.78,0.87,0.99,0.06,0.96,99.0,7.02,97.2,93.79,0.96,3508.7,3.49,90.41,0.66,0.79,1.34,2.58,91.29,15.85,16.23,T1175
37,38,T1175TS434_1,434,Coqualia,92.14,100.0,36,0.4,0.42,76.89,57.52,71.82,1.607,2.245,264,0,95.83,98.11,98.11,95.589,1.05,11.97,35.2,262,1.3,1.41,0.84,94.7,0.78,0.86,0.99,0.06,0.97,95.2,7.02,96.98,93.65,0.96,3482.3,5.64,89.83,0.67,1.57,0.33,2.26,91.29,12.57,10.07,T1175
38,39,T1175TS441_1,441,OpenFold,92.14,100.0,36,0.4,0.42,81.53,58.49,74.79,1.74,2.283,264,0,94.32,96.21,96.21,94.735,0.96,11.74,35.5,264,1.7,1.35,0.84,94.7,0.78,0.87,0.99,0.06,0.96,99.0,7.02,97.2,93.79,0.96,3508.7,3.49,90.41,0.66,0.79,1.34,2.58,91.29,15.85,16.23,T1175
39,40,T1175TS227_1,227,GinobiFold,92.14,100.0,36,0.4,0.42,76.89,57.52,71.82,1.607,2.245,264,0,95.83,98.11,98.11,95.589,1.05,11.97,35.2,262,1.3,1.41,0.84,94.7,0.78,0.86,0.99,0.06,0.97,95.2,7.02,96.98,93.65,0.96,3482.3,5.64,89.83,0.67,1.57,0.33,2.26,91.29,12.57,10.07,T1175
40,41,T1175TS477_1,477,DMP,92.05,100.0,41,0.39,0.42,77.08,58.47,72.68,1.623,2.115,264,0,95.45,96.59,96.59,95.132,1.04,11.74,37.2,264,1.6,2.61,0.86,96.59,0.79,0.87,0.99,0.05,0.97,91.7,7.02,97.23,94.14,0.96,3521.9,4.13,91.57,0.69,32.66,0.33,7.74,87.42,18.72,14.29,T1175
41,42,T1175TS215_1,215s,XRC_VU,92.05,100.0,41,0.39,0.42,76.99,59.29,72.51,1.671,2.214,264,0,95.08,96.97,96.97,95.094,1.07,11.86,36.7,263,1.5,1.36,0.85,95.83,0.79,0.87,0.99,0.06,0.97,97.7,6.92,96.83,93.27,0.96,3469.4,6.81,91.2,0.69,1.38,0.33,2.9,91.94,15.24,11.49,T1175
42,43,T1175TS180_1,180,McGuffin,92.05,100.0,41,0.39,0.42,77.27,59.05,71.98,1.586,2.068,264,0,95.45,96.97,96.97,95.327,1.1,11.86,36.5,264,1.6,1.29,0.85,96.4,0.79,0.87,0.99,0.06,0.97,93.6,7.02,96.9,93.45,0.96,3472.5,3.58,86.08,0.69,1.38,0.0,0.32,93.55,12.75,12.11,T1175
43,44,T1175TS125_1,125s,UltraFold_Server,91.95,100.0,44,0.39,0.41,76.9,59.23,72.52,1.658,2.161,264,0,95.45,96.97,96.97,95.054,1.0,11.86,36.7,264,1.7,1.3,0.85,95.83,0.79,0.87,0.99,0.06,0.97,97.5,6.58,97.03,93.62,0.96,3485.9,3.52,90.22,0.68,1.18,0.0,1.61,92.58,17.82,11.77,T1175
44,45,T1175TS054_1,054,UltraFold,91.95,100.0,44,0.39,0.41,76.9,59.23,72.52,1.658,2.161,264,0,95.45,96.97,96.97,95.054,1.0,11.86,36.7,264,1.7,1.3,0.85,95.83,0.79,0.87,0.99,0.06,0.97,97.5,6.58,97.03,93.62,0.96,3485.9,3.52,90.22,0.68,1.18,0.0,1.61,92.58,17.82,11.77,T1175
45,46,T1175TS399_1,399,BeijingAIProtein,91.95,100.0,44,0.39,0.41,76.9,59.23,72.52,1.658,2.161,264,0,95.45,96.97,96.97,95.054,1.0,11.86,36.7,264,1.7,1.3,0.85,95.83,0.79,0.87,0.99,0.06,0.97,97.5,6.58,97.03,93.62,0.96,3485.9,3.52,90.22,0.68,1.18,0.0,1.61,92.58,17.82,11.77,T1175
46,47,T1175TS439_1,439,Yang,91.95,100.0,44,0.39,0.41,76.71,60.42,71.96,1.744,2.311,264,0,96.21,97.35,97.35,94.803,1.02,11.86,37.2,262,1.4,1.41,0.83,94.81,0.79,0.86,0.99,0.06,0.97,97.0,6.58,97.31,94.36,0.96,3525.9,6.6,88.98,0.67,1.4,0.0,1.61,90.32,16.54,12.19,T1175
47,48,T1175TS011_1,011s,GinobiFold-SER,91.86,100.0,48,0.38,0.41,76.71,59.27,72.47,1.713,2.265,264,0,95.83,97.35,97.35,94.846,1.04,11.86,36.5,264,1.7,1.42,0.85,94.7,0.79,0.87,0.99,0.06,0.97,93.5,6.35,96.93,93.41,0.96,3477.3,5.89,90.09,0.69,1.77,0.33,1.94,91.94,15.66,12.19,T1175
48,49,T1175TS151_1,151s,IntFOLD7,91.76,100.0,49,0.37,0.4,76.8,58.91,72.43,1.637,2.178,264,0,95.08,97.35,97.35,94.974,1.08,11.86,36.7,264,1.6,1.31,0.85,96.21,0.79,0.87,0.99,0.06,0.97,97.3,7.02,96.83,93.27,0.96,3471.2,5.14,85.34,0.68,0.98,0.0,3.55,90.97,9.4,10.88,T1175
49,50,T1175TS278_1,278,PEZYFoldings,91.76,100.0,49,0.37,0.4,81.91,60.9,75.22,1.865,2.397,264,0,93.56,96.59,96.59,94.308,1.02,11.68,35.7,263,1.7,1.59,0.84,93.37,0.77,0.86,0.99,0.07,0.97,81.6,5.99,96.93,93.03,0.96,3446.4,4.46,90.77,0.66,2.95,0.67,1.29,91.29,22.75,16.92,T1175
50,51,T1175TS264_1,264s,server_125,91.67,100.0,51,0.37,0.4,76.23,57.8,71.33,1.698,2.401,264,0,95.83,97.35,97.35,94.576,1.01,11.86,36.6,262,1.4,1.03,0.84,93.94,0.78,0.86,0.99,0.07,0.97,97.7,6.35,96.89,93.37,0.96,3471.4,6.7,89.18,0.66,0.2,0.67,1.94,92.9,11.28,9.12,T1175
51,52,T1175TS261_1,261s,server_122,91.67,100.0,51,0.37,0.4,76.23,57.8,71.33,1.698,2.401,264,0,95.83,97.35,97.35,94.576,1.01,11.86,36.6,262,1.4,1.03,0.84,93.94,0.78,0.86,0.99,0.07,0.97,97.7,6.35,96.89,93.37,0.96,3471.4,6.7,89.18,0.66,0.2,0.67,1.94,92.9,11.28,9.12,T1175
52,53,T1175TS158_1,158s,MULTICOM_deep,91.67,100.0,51,0.37,0.4,76.52,57.94,71.25,1.716,2.385,264,0,95.45,97.35,97.35,94.674,1.04,11.86,35.6,262,1.4,1.14,0.84,93.56,0.78,0.86,0.99,0.07,0.97,89.6,6.35,96.98,93.6,0.96,3472.8,6.36,89.66,0.66,0.39,0.0,3.23,91.61,13.33,10.56,T1175
53,54,T1175TS018_1,018s,server_123,91.38,100.0,54,0.35,0.38,79.92,58.69,73.99,1.91,2.454,264,0,93.18,95.83,95.83,93.722,0.97,11.68,36.0,263,1.8,1.53,0.84,92.42,0.77,0.86,0.99,0.06,0.96,84.5,7.02,97.1,93.45,0.95,3449.8,5.06,91.32,0.66,2.36,1.0,1.61,91.29,23.34,16.2,T1175
54,55,T1175TS383_1,383s,server_124,91.29,100.0,55,0.34,0.38,76.89,58.79,72.2,1.785,2.372,264,0,95.45,96.97,96.97,94.591,1.06,11.8,36.4,262,1.5,1.36,0.85,95.27,0.78,0.87,0.99,0.05,0.97,90.4,6.35,97.29,94.31,0.96,3517.2,6.78,91.14,0.67,1.38,0.0,1.61,91.94,17.53,13.06,T1175
55,56,T1175TS187_1,187,TRFold,91.29,100.0,55,0.34,0.38,78.88,56.52,71.65,2.116,2.673,264,13,93.94,95.45,95.45,94.619,1.02,11.57,35.9,260,1.4,2.18,0.83,93.94,0.77,0.86,0.99,0.07,0.96,84.0,6.58,97.13,93.85,0.95,3471.9,8.15,90.38,0.64,9.04,2.01,3.23,92.58,21.06,15.65,T1175
56,57,T1175TS423_1,423,trComplex,91.29,100.0,55,0.34,0.38,78.88,56.52,71.65,2.116,2.673,264,13,93.94,95.45,95.45,94.619,1.02,11.57,35.9,260,1.4,2.18,0.83,93.94,0.77,0.86,0.99,0.07,0.96,84.0,6.58,97.13,93.85,0.95,3471.9,8.15,90.38,0.64,9.04,2.01,3.23,92.58,21.06,15.65,T1175
57,58,T1175TS475_1,475s,MULTICOM_refine,91.19,100.0,58,0.34,0.37,76.04,57.33,71.23,1.744,2.238,264,0,96.21,97.35,97.35,94.861,1.07,11.86,37.1,262,1.4,1.21,0.85,96.4,0.79,0.87,0.99,0.05,0.97,84.5,7.13,97.35,94.47,0.96,3526.1,5.47,89.99,0.69,1.18,0.33,0.97,94.52,11.25,9.33,T1175
58,59,T1175TS367_1,367,MULTICOM,90.72,100.0,59,0.31,0.34,75.47,56.37,70.28,1.668,2.149,264,0,95.08,96.97,96.97,94.222,1.08,11.8,37.0,264,1.7,1.44,0.85,96.59,0.79,0.87,0.99,0.05,0.97,85.9,7.02,97.23,94.18,0.96,3516.9,3.18,89.47,0.68,2.16,0.33,1.94,92.9,10.99,9.23,T1175
59,60,T1175TS403_1,403s,server_126,90.62,100.0,60,0.3,0.34,75.38,56.77,70.02,1.694,2.411,264,0,94.32,96.97,96.97,94.298,1.15,11.8,35.3,262,1.4,1.31,0.83,93.18,0.77,0.85,0.99,0.07,0.97,84.8,7.02,96.74,93.14,0.96,3432.5,5.85,87.54,0.66,1.18,0.67,2.9,92.26,12.32,9.57,T1175
60,61,T1175TS185_1,185,BAKER,87.69,100.0,61,0.1,0.17,71.4,51.23,67.11,2.204,2.754,264,0,93.18,95.45,95.45,92.273,1.16,11.63,34.9,259,1.7,0.84,0.81,94.32,0.75,0.85,0.99,0.07,0.96,90.5,6.58,96.25,92.23,0.94,3372.4,3.96,87.91,0.63,0.39,0.0,0.0,96.77,9.52,6.78,T1175
61,62,T1175TS091_1,091,UNRES,87.31,100.0,62,0.08,0.15,68.66,42.91,62.18,1.911,2.721,264,0,95.45,96.97,96.97,92.748,1.2,11.8,33.6,264,1.9,1.15,0.75,90.53,0.7,0.79,0.99,0.08,0.96,85.4,5.19,95.21,89.95,0.95,3246.4,3.42,83.71,0.55,0.0,2.01,0.65,93.55,4.1,3.07,T1175
62,63,T1175TS427_1,427s,MESHI_server,86.93,100.0,63,0.05,0.12,68.18,33.15,58.06,2.252,3.105,264,0,92.8,95.83,95.83,91.979,1.27,11.63,32.5,261,1.7,4.33,0.69,86.36,0.62,0.76,0.98,0.12,0.95,89.4,6.11,93.39,86.33,0.94,3110.3,7.79,76.57,0.45,66.02,39.46,9.68,71.61,2.17,1.81,T1175
63,64,T1175TS067_1,067,ESM-single-sequence,86.93,100.0,63,0.05,0.12,71.21,51.32,66.05,3.032,3.777,264,0,91.67,93.94,93.94,91.348,1.17,11.28,34.2,260,2.1,2.13,0.8,90.53,0.75,0.83,0.98,0.08,0.95,76.0,6.47,95.73,90.57,0.93,3277.5,19.59,92.17,0.62,2.75,4.01,2.9,87.74,11.43,5.93,T1175
64,65,T1175TS443_1,443s,BAKER-SERVER,86.93,100.0,63,0.05,0.12,70.08,51.3,65.02,1.834,2.382,264,0,93.94,95.83,95.83,93.272,1.24,11.63,36.3,264,1.8,0.9,0.83,95.27,0.78,0.86,0.99,0.06,0.96,91.3,6.7,96.54,93.36,0.95,3448.8,3.94,89.13,0.67,1.57,0.0,0.0,98.06,5.86,5.19,T1175
65,66,T1175TS276_1,276,PICNIC,86.74,100.0,66,0.04,0.11,71.12,28.95,57.06,1.987,3.33,264,37,90.15,95.83,95.83,91.662,1.31,11.63,31.8,264,1.9,3.61,0.65,75.95,0.58,0.71,0.98,0.17,0.95,78.2,6.23,93.03,83.9,0.94,3076.6,6.84,80.77,0.37,10.61,35.79,18.39,64.84,3.31,2.6,T1175
66,67,T1175TS064_1,064,SHORTLE,86.36,100.0,67,0.02,0.09,69.13,46.01,63.37,1.864,2.544,264,0,93.94,95.83,95.83,92.72,1.26,11.63,35.8,264,1.9,1.94,0.8,94.32,0.75,0.85,0.99,0.06,0.96,91.3,6.7,96.38,93.04,0.94,3418.0,3.99,22.31,0.62,28.5,0.67,0.0,98.06,1.24,4.44,T1175
67,68,T1175TS298_1,298s,MUFold,86.17,100.0,68,0.0,0.08,71.12,52.03,64.31,2.163,2.649,264,0,92.42,95.08,95.08,91.695,1.28,11.63,34.5,264,2.2,1.42,0.83,94.7,0.78,0.85,0.99,0.07,0.95,93.2,7.02,96.68,93.11,0.94,3420.2,4.52,88.9,0.66,1.57,0.0,2.58,90.97,5.51,5.39,T1175
